,Freshness,Review
214,1," Elliot's record of an unconventional friendship revels in grotesque detail and scatological humour, but yields unexpected depth and poignancy."
217,1, A gift of a documentary.
220,1, [An] affecting study of independence and friendship.
221,1," As one might expect from a zombie romance, the film doesn't pack a lot of big ideas. Still, the concept is original, and watching it unfold is loads of fun."
225,1," Watching Carell and Fey in action, trading quips and dodging gunfire as they attempt to make their way home to white-picket-fence suburbia, makes you wonder why it's taken so long to bring these two gifted comics together."
228,1," Fincher's strange romantic epic has its greatest impact the first time around. Overall, the film seems more like a beautiful curio than anything else, a sort of artsy fartsy Forest Gump."
229,1," It's exciting, foreboding, grand and important, a part of our culture and identity no matter how loudly cineastes scream bloody murder."
231,1, City of Men has the electrically oversaturated style of reality that made City of God such a searing vision of teenage criminal life in the slums of Rio de Janeiro.
232,1, ... a unique and engaging reworking of an enduring genre.
233,1, Depicts a side of Abraham Lincoln and the American political system that is equally stimulating and intellectually inspiring.
234,1, Slick and playful entertainment that remains carefully inoffensive beneath its veneer of bad manners.
235,1, The changes suit the demands of mainstream cinema and the warm aesthetic Batra exhibited in his first film. This is a smart piece of translation.
236,1," It's an exciting experience, dazzling and entertaining and thought-provoking."
237,1," The actors make these characters vivid, within a structure that is recognisably Malick's."
238,1, It's impossible to tell the experienced from the inexperienced among Loach's casts.
239,1,"Absorbing, often electric with the energy of the playing field, Invictus is packed with feel-good ""teachable moments"" without the sugary aftertaste."
242,1," The film definitely has its moments, and at arm's length, The Promise will resonate. But overall, it feels like a missed opportunity, a good film that could have been much better."
243,1," The film builds steadily, but never tediously, to the long awaited mission to Abbottabad and the compound housing Osama bin Laden."
244,1,An entertaining comedy that far surpasses his previous American films.
245,1, There are definitely sentimental and predictable moments but it is enjoyable.
249,1," Hail, Caesar gives us a colourful feast full of excess and fun."
250,1, An inoffensive and relaxed offbeat comedy with just enough heart to carry it through.
251,1," Director Michael Polish and his co-scenarist and brother Mark don't fall into the trap of trying to redo Frank Capra. They have their own approach to the material, with an eye for the eccentric amid the commonplace adding just the right touch of humor."
252,1," The film's color photography is extraordinarily lovely for, like the conspirators within the film, Bertolucci has a weakness for the purely theatrical effect."
253,1," This is a modern day Capra movie, which means you might be embarrassed to tell your friends you went to see it, but you left the theater with a big smile on your face."
254,1," It's a story where, perhaps, there's enough guilt to go around. But the credit for telling it goes completely to a bright young talent."
257,1,Sam Peckinpah doesn't find anything to cheer about when his Man expresses his rage.
258,1, A true classic worthy of its highest praises.
259,1," ...we've seen all this before (""Bad Santa"" being but one example). Still, Murray is Murray and watching his sweetness peek through his outer curmudgeonly crust is worth the price of admission. More surprising is Naomi Watts..."
260,1," Even non-fans will get a thrill or two, followed by a quick laugh and a feeling like someone is trying to insult their intelligence."
261,1, A beautiful and shamelessly honest film about the fragility of life. [Full review in Spanish]
265,1," This 1930s-set drama chronicling events leading to the deportation of a little-known, real-life Irish political activist is a graceful digest of Loach's signature motifs."
270,1," An examination of whether vigilante justice - no matter how well-intentioned at the start - is doomed, ultimately, to become just another example of would-be good guys falling prey to the lure of egotism and/or big money."
271,1," An authentic depiction of depression, mental illness, and a poetic meditation on mankind's relationship with the universe."
273,1," The same effortless chemistry that made the comedians such ideal Golden Globes hosts is on full display in this broad comedy, given extra oomph by a wise and glorious R rating that opens the floodgates of creative vulgarity."
275,1," Lovelace finds a fresh take on familiar material, but the film is also distinguished by its focus and intensity."
276,1," Nothing in Uncovered: The War on Iraq will change your opinion, but it may give you bullet points to back up your cocktail-party arguments."
278,1, The show is fun and fact-filled. A smart peak into how the past informs the present that does right by taking the funny stuff seriously.
279,1," It's often at its best when it's off on a moody tangent. But it has something and is well worth seeing, especially if you're a horror fan or a fan of art cinema"
280,1," Sure, it's complicated, but isn't that always true of romance? And doesn't it blow the hinges off the universe -- every single time?"
281,1," This incarnation of Fanny may not have been what Austen had in mind, but she surely would have approved, for the injection of attitude and smarts makes Mansfield Park a much more wicked and irresistible social satire..."
283,1," [Director Dome] Karukoski guides us on a journey of reflection, where distance is not so much geographic, but emotional. [Full review in Spanish]"
285,1, [Oliver] Stone uses a lot of visual effects to give some energy to a very conventional story...
286,1," There's nothing like seeing Fela himself - blowing his sax, expressing his unbridled sexuality and living a life like no other."
290,1, A rather watchable film that is reminiscent of The Bodyguard (sans the stalker sub-plot) that also works well as warm-hearted romance with soap opera elements.
295,1,"What Black's movie really has going for it is pace. It starts with a crash, followed swiftly by a bang and vast swathes of wallop. The relentlessness doesn't allow you any time to catch a yawn, but it's also not too conducive to tension or suspense."
296,1," Real-life love stories rarely work out quite so faultlessly, but for two hours it's nice to believe that they could."
297,1," Another year, another mix of ""The Amityville Horror"" and ""The Exorcist."" Solid acting and an emotional back story set this one slightly apart."
298,1," While prone to arty lingering, thus wasting time that would have been more wisely spent plugging gaps in the narrative, Shortland slathers the story in enough mud and horror to make it a compellingly visceral experience."
299,1," Boasts the stock characters and situations, sentimentality, foreshadowing and melodrama of soap opera. Yet by cleverly blending these ingredients with those of an action caper, the pic presents a fresher appeal."
301,1," Well, it's a more fun trip to Rio than Rio. As the reckless flailing of a lot of meatheads, Fast Five is essentially a food fight with sloppy Joes."
302,1, The Secret World of Arrietty is a marvelously captivating animated feature about very tiny people and the full-scale world they inhabit.
303,1,"The Mambo Kings"" is so pumped up with life it threatens to burst. It's beautifully filmed and flashily edited. It pulsates with rhythmic ecstasy. It throbs, it sweats, it pounds, it undulates."
304,1, The film does not disappoint despite having moments where it could have more nuance. [Full Review in Spanish]
305,1," It's not the deepest movie of the season, but it has sprightly performances and cinematic style to spare."
310,1," It's almost as if the whole Peanuts universe has been encased in Carbonite, shipped to 2015, then unfrozen like Han Solo, ready for movie duty."
311,1, Manages to surprise and engage the viewer in a way you may not have expected.
312,1," As it stands, it's an efficient, diverting new entry in Neeson's ongoing action canon, albeit one which suggests his He-Man career route has finally reached the end of the line."
315,1, Tim Burton magic with just a touch of scariness.
316,1,"If the thought of another Australian film with a soundtrack full of ABBA songs scares you away from this film, buck up and see it anyway."
318,1, A horror-fantasy that all involved should be wholeheartedly proud to be a part of.
320,1," From a philosophical viewpoint it's fitting that the inaugural movie to unite martial arts legends Jackie Chan and Jet Li is a fantasy film for young teenagers. Forbidden Kingdom"" may not be ""Enter the Dragon,"" but it's not supposed to be."
321,1, Even basketball-phobes will enjoy it.
322,1, A superhero tale that feels fresh and new...
323,1, Star Andy Samberg & Co. are at their best when they're deadpanning as addlepated celebrity man-children whose vision of the good life involves the getting of ways and the indulging of whims.
324,1, Lelio's observational and unobtrusive direction trusts the lead to carry the weight of the film. Moore characteristically rises to the occasion.
325,1," There is a sense that the picture ends just as it gets going. But it's a movie that understands co-dependency from the inside, as well as the helplessness and hopelessness of trying to cure someone else's addiction."
328,1, Your response to all this depends extremely heavily on how much philosophizing and pretty pictures you're willing to accept in lieu of a story.
329,1, Stephen King's The Mist is a reminder of what a great horror movie is all about.
333,1," 3/4 is a small but ambitious drama with a perfectly symmetrical structure, using minimal means, nonprofessional actors, and everyday conversations to convey its characters' innermost feelings. "
335,1," Aaron Johnson may not be Lennon, but he?s entirely persuasive as someone who could have grown up to become him. It?s a striking pre-incarnation. "
336,1," Once you've been away from 'The Fall' for 24 hours or so, you reflect on its sheer beauty."
337,1, [F]eatures one of the most engaging ensemble casts I've seen in a goodly while... So hurrah for this band of gal pals at various romantic crossroads...
338,1, More of a dramatic freak-out than your standard teen slasher horror. Although the effect is exactly the same.
339,1, What Social Animals ultimately does is take us on a journey in order to see what Instagram users will do to be successful.
340,1,You can't help but walk out feeling as though you've just seen one of the more important stories about one of the more important people - gay or straight - of our time.
341,1," Ranks among the most mindless action films ever made, but scores as a helluva video game."
342,1," If you're not a fan of rocker David Crosby, director A.J. Eaton's comprehensive documentary ""David Crosby: Remember My Name"" might make you one - or at least give you an appreciation of this rock 'n' roll survivor."
347,1, The first great film about the war in Iraq.
348,1, A deeply moving drama played out on the small stage of ordinary people's lives.
349,1," Iannucci made the bravura decision to make a factual film of that event dressed in the black robe of English satire at its darkest. Surely, there was no other intelligent way to bring the story to an audience 75 years after the event. "
351,1, Jumanji: Welcome to the Jungle breathes through its adventurous pores. [Full Review in Spanish] 
352,1," DeBlois, who also wrote the script, successfully juggles the multiple story lines, shifting allegiances and uncharted lands."
355,1, Tedeschi combines the raw sensuality of an Anna Magnani with the melancholic introspection of a Monica Vitti and is well worth discovering.
356,1, Bulworth plays like a cry of frustrated comic rage. It's about an archetypal character who increasingly seems to stand for our national mood: the guy who's fed up and isn't going to take it anymore.
357,1," If you see no more than the opening shots, you will never forget them."
359,1," Funny, feel-good movie has excellent messages for kids."
364,1," A vital, lavish, venomously profane two fingers up at Benefits Street pity porn and the social division it fosters. I laughed, winced, gagged, then laughed even more."
365,1, ... the protagonists of the film put ethics before ideologies and do not hesitate to confront their audience... [Full review in Spanish]
367,1," Even in its more banal moments, Oculus has its eye on a higher prize."
368,1,"A difficult film to describe without making it seem less than the masterpiece it is, 'Tokyo Story' is a remarkable work that gives a real insight into family life."
372,1," A gentle film can still be searing in its effect on an audience, something that ""Monsieur Lazhar"" proves emphatically."
373,1," By the end, the film shows not only the power of this influence but also its terrible price in an often merciless conflict."
376,1, This role fits Frank Langella to perfection as he plays away from the obvious comedy in search of greater truths.
377,1, It wasn't until the movie was over that I realized it had pulled off the neat trick of creeping me out without showing even a single drop of blood.
379,1," Director Mimi Leder admirably insisted on making the human relationships count for as much as the cheap thrills in this killer- comet movie. But the cheap thrills -- expensive thrills, actually -- are mostly what make Deep Impact fun to watch."
382,1, A story that deftly sneaks up on you before grabbing your emotions by the throat. 
383,1,"Exhilarating, visually astounding, thought-provoking and very, very funny."
384,1," As a spun-sugar, slightly screwball romantic comedy, it's a delicious 'portal' to an hour and change of escapism."
385,1, It is obviously the film of a master and certainly feels like a swan song.
386,1," An instant cult classic, one that's tailor-made for multiple viewings and bound to be popular among college students."
388,1, Requires an expertise in Austen's works but rewards you with a decadently satisfying ending - a guilty pleasure.
389,1," Cast and director come together a treat in a fascinating attempt to revise the western that satisfies visually, emotionally and intellectually."
392,1," It's handsomely mounted, extremely well-acted and tells a little-known story of bravery on the part of one man daringly taking on the might of the Third Reich."
393,1,Gary Fleder directs this thriller with panache making the most of interlocking elements of the drama.
395,1," Because of its gruesome subject matter, it is difficult to describe such a vile movie as being good, or even well made, but this one really is."
397,1, Solid summer entertainment.
400,1," Cheesy? A bit, but using 3-D to enhance the dance floor feels more honest than the dull 3-D of The Last Airbender."
404,1," The film has already won several awards at film festivals, and once you see it, you'll understand why people are clamoring to see Colin Firth win an Academy Award."
405,1," Buster Keaton's final independent film is one of his finest achievements, something of a greatest hits package in its refinement of old routines."
407,1, ... filmmakers hit pay dirt when they got Weiner to sit for them. He's an impassioned self-deceiver who's not afraid to infiltrate enemy territory ... Now if he could only keep his namesake in his pants.
408,1,"There's a self-aware feel to the period pageantry, the alternatingly seductive and kinetic cinematography, and the actor's showcase this ramshackle contraption has been held together with spit and bailing wire to be."
409,1," To her credit, Ms. Reichardt never allows her camera to become a voyeuristic witness to a young woman in distress. Instead, it remains focused on a largely indifferent American landscape of strangers in perpetual motion to nowhere."
411,1,"L'Auberge Espagnole"" isn't a perfect, or at times very even, film, but it's chock-full of a kind of experimentation and fun rarely found in the slick, polished and ready for the masses fare that the studios usually traffic in"
412,1," If you can stay awake, you'll be struck by the nuanced performances, the depth of the characterisation, the intensity of the moral questions and the drips of black humour."
413,1," [Achieves] level of visceral intensity that rivals the jacked-up, heart-in-mouth tension that was previously the preserve of the best fiction film-makers."
416,1," This ""Dawn of the Dead"" inspired chiller is strong on concept, style and brutally violent action, but suffers from poor musical scoring, and a digital video format that helped keep its budget at 10 million dollars."
418,1, A style and tone as impressive as its action.
419,1, A film with a developed staging and that creates an interesting dialectic between reality and fiction through images. [Full review in Spanish]
420,1,"It doesn't want to explore epistemological questions about the nature of perception and memory; it just wants to mess with our heads. And as a wily, slightly sadistic chess game of a movie, it succeeds quite nicely."
421,1," Like the best ad man, he makes his point by making us laugh."
422,1, The stealthiest comedy since American Psycho.
423,1," A challenging but worth-it experience for more reasons than one can actually speak (or write) in words. It's a documentary to be watched over time, with a Carthusian level of contemplation."
424,1," Just because the characters are crazy, that doesn't mean they are not smart."
425,1, belies its low budget with both an impressive cast headed by veteran character actors and director Bob Clark's creative economy
427,1, This is one of the screen's most rewarding explorations of the teacher/student relationship in any language. Every voice we hear makes sense; every opinion means something.
429,1," Goes solely for today's oversaturation of superheroes and jabs it for all its worth. In-jokes, Easter eggs, and background details abound throughout. I highly enjoyed this film. (Full Content Review for Parents - Violence, etc. - also Available)"
430,1," Radcliffe's first post-Potter outing is plenty atmospheric, in the style of Roger Corman's Poe series. It's just not all that scary ‒ unless you find rattling doorknobs and dead children's faces pressed to frosty windows scary."
432,1," Adult horror returns to the screen with the crisp and frightening The Orphanage, a haunted-house tale about the dueling forces of childhood friendship and maternal love."
434,1, [T]here's... an oddly poignant attempt to redeem a hackneyed genre from pointless insensitivity.
435,1," Under The Sand lifts the phantom-spouse syndrome to the level of art, yet another dimension for this popular form."
437,1," Aside from the silly title and disappointingly pat ending, even the rom-com-averse will find something to love about Man Up."
439,1," If I myself find anything worth worshipping, it's the creative genius of people like M. Night Shyamalan, at whose feet I am not worthy to grovel."
442,1," The film is meant to be a negotiation of what that long-ago relationship was, and it is that. But in our reality of pervasive sexual iniquity, it also feels an awful lot like a litany of self-serving excuses for pedophilic behavior."
444,1,"It is entertaining and often very funny, even when you hope that director Harron will next find a subject that is truly worthy of her considerable talents."
446,1," Hysterically potent, thought-provoking and deliciously nostalgic. Overall, the proposed chatter is warranted in the movingly impish Talk to Me."
448,1,"Channeling spaghetti westerns, Cervantes, Castaneda, and a dash of CHINATOWN as refracted through the visual sensibilities of Dali, it is a fiendishly clever concretion of high- and low-brow in a story that is both vision quest and farce"
453,1,"Personally, it's my favorite out of the four Vacation films. Many people don't agree with me, however."
454,1," Great acting, sharp visuals, but edited in such a confusing way that a second viewing might be needed."
460,1," In Loach's hands, it has a measure of dignity and it works beautifully."
461,1," ... it isn't trying to be a blockbuster, and yet it out-blockbusters almost everything else this summer... "
463,1," It's not Lee's most challenging work, but it's certainly amongst his most charming."
464,1," ""The Great Gatsby"" not so great, but pays a decent tribute to the novel."
465,1," Despite the predictable body-shifting premise and a heavy dose of sentimentality, this teen comedy is extremely enjoyable"
466,1, Depp terrifies as dangerously violent real-life gangster.
468,1, This is a very accomplished movie.
471,1, Bigelow crowns several decades of excellent artistic enquiry with a film that everybody should see.
474,1," If it can get someone who's so out of its core demographic a little verklempt, imagine what it can do for someone who's a target for such fare."
475,1, X-Men earns another shot at being a seminal comic-book franchise.
476,1," The Eyes of My Mother is effective and unsettling, and as a first movie from Pesce, promises much more in the future."
477,1," In one of his last films films to be released, the late Philip Seymore Hoffman gives another of his pitch-perfect performances in this twisted spy yarn set in Hamburg, Germany."
479,1," ""Aquarius"" is a marvelous and surprising act of portraiture, a long, unhurried encounter with a single, complicated person."
480,1," quirky, off-beat and all around charming... has a lot of heart."
481,1," Genius nudges its nose, or maybe just the brim of its fedora, ahead of a lot of prestige biopics."
484,1, Intense and delicately nuanced.
487,1," Warm, darkly humorous, bittersweet and tender. Rolf Lassgård is a revelation. "
490,1," That doesn't dampen the work of Richardson and Sprouse, or the romance at the film's center. ""Five Feet Apart"" works hard for its tears. But it's the honesty of the performances that makes it worth the investment."
