,Review,predicted_train
5398,"Dragged Across Concrete is Zahler flexing his script-writing muscles, and it should come as no surprise he has also churned out five novels since 2010, with his latest feeling like an adaptation of one of his own books.",1
317630, Grandes héroes es una hilarante animación con sobra de corazón sobre un grupo de héroes en proceso.,1
2909,Timeless in every way.,0
46323,"...a bloated, verbose bore. It was pure agony.",1
394450," Wainaina's film never cuts narrative corners or cheaply pulls on our heartstrings; rather, it lets the spirit of its lead character permeate it and structure it in every way.",1
2496,"Here's one more documentary that's worth a look... The movie still includes extensive chats with [many artists], along with generous doses of their music. How wrong can you go?",1
325767, Acceptable as a kids film only as a punishment tool.,1
1682,A true strength of this film is its willingness to honestly portray the shortcomings of military procedure and how war crimes this brazen can happen under this country's nose.,1
44547,I found this to be one of Clint Eastwood's worst films. I thought the emotion was very fake.,1
3928,"This film is riddled with clichés and predictability, but still garners an applause for its heartfelt intent and depiction of real life relationships in times of uncertainty.",0
4471,"Rather, watching it feels like an 80-minute commercial for an opulent, minimalist lifestyle told through a kink for sexual violence against women.",1
13212," Featuring a large number of contributors including her children, former colleagues and well known faces like photographer David Bailey, Vreeland's story is brought to life through a rich collection of archive images and footage.",1
49051,"It's not bad at all, however its old charm has disappeared. [Full review in Spanish]",1
3046,"Penn is extraordinary in his depiction of insanity interrupted by spells of rational thought that lead only to crushing guilt. The film's underlying theme is the search for redemption, and Penn fearlessly plumbs those depths.",1
3402,"The slim plot is made promising by its self-referentiality, but beyond a heavy-handed message about ""accepting change,"" Static Cling doesn't have a lot to say.",1
1105,"Sure, it's just two or three people bonding over the twin addictions of the title. But Jarmusch makes it a feast that plays like a haunting concept album.",1
136948," She's not somewhat bad, she's not repentantly bad and she's certainly not sympathetically bad. Nope, she's just plain ol' bad. And that is a thing of rare beauty.",1
358976," Though entirely sympathetic toward Grahame, it fails to animate whatever was unique about her.",1
32299,"Though it doesn't reek of originality, Unaccompanied Minors manages to keep familiar routines entertaining and find fresh ways to revive the laughs fossilized inside old gags.",1
3584,"The twists are thoroughly predictable, but even if any tension and suspense were generated, it would all be squandered by the film's contrived fizzle of an anticlimax, which is not only disappointing but makes little sense.",0
1699,"It feels like the ideal fit for Netflix and as long as Murphy wants to chase good roles instead of an easy pay cheque, this should be the start of a late-career revival.",1
71173," Admirable for its candor, its good humor and its bravery.",1
4950,"This is not much more than a light crowdpleaser, but when you've got two powerhouse performers like this it is very difficult not to find oneself at least temporarily charmed.",1
5328,Miss Bala provides the first feasible argument for our southern neighbor to pay for building a wall: to keep Hollywood hacks out of the country.,0
402411," Compared to this sequel, the first Transformers, which was released two years ago, ranks right up there with Kant's Critique of Pure Reason.",0
90241," Taken 2 is a pointless sequel that tries to capitalize on everything that worked in the first film, without actually including any of it.",0
4775,An intimate visit into the house of a feared man that holds no boundaries when playing for his cause. So honest it's scary. [Full review in Spanish].,1
150119, It's like one half of a Willa Cather novel: The moral backbone is there but its social spine has been ripped out. ,1
433894," It's been a long time since Hollywood has made a circus movie, but if 'Water for Elephants' is any indication, it hasn't been long enough.",0
4916,There's no disguising fluff this fluffy.,0
4561,A comedy that's actually funny.,1
4234,[A] touching and surprising familiar tale. [Full review in Spanish],1
1730,"Despite a few (glaring) faults, The Gallows Act II still upstages the original, in every way. That still leaves a lot of room for disappointment, of course...",0
27711,"Valkyrie works as a full-dress military drama, fleshing out a historical footnote in vivid detail.",1
69987," As superhero flicks go, the first half of Captain America -- the one that counts -- is well above average. But the real superheroics here belong to the F/X team.",1
1375,Tyler Cole's debut feature is unlike any breakup movie before it.,0
4465,"Little charm, little mirth, little else.",1
365525," Levels the playing field of fundamental human need and behavior, often revolving around luck that we have no control over whatsoever.",0
379725, An unpretentious classic of the form.,1
51074,"Even with all the four-letter words, this still feels like immature kids' stuff.",0
295255," This raises more issues than it can possibly consider in depth, but the filmmakers' ambition is admirable, as is their refusal to draw simple conclusions about any of the subjects.",1
219264," An exploitation B-actioner, more suitable for midnight screening, Crank offers non-stop visceral entertainment; it's like being on a thrilling rollercoaster for 81 minutes, which is the story's real and reel time, during which not one second is wasted.",1
86192," Like looking at a black light poster on uppers: It's visually lovely, and you're having a good time, but there's also a small nagging sense that somebody might have brought the wrong drugs to the party.",1
20374,These are performances - and lives - lived in quotation marks.,0
28450,[Peter Jackson's] efforts to filter or self-edit - assuming there were any - remain fruitless.,1
5149,"Am I the only one who expected Connery to say, when he starts kissing Zeta-Jones then stops, 'You do realize I'm old enough to be your grandfather?'",1
1173,"Those hoping for a solid flick using the full talents of people like Woo, Cruise, Rhames, etc. will sadly be disappointed.",1
31268,"...captivating, filled with a myriad of small, humorous, wicked touches that continually please.",1
27282,It's a rocket to the moon fueled by unadulterated joy and pure imagination.,1
258853, The Coen brothers have done it again. They've made one of the best films of their already spectacular careers.,1
180986, The sum of its gently amusing parts doesn't add up to a film likely to stay long in the heart - or multiplex.,1
47686,A derivative collection of horror and sci-fi cliches.,0
194989," The cinematography and the production design create the right atmosphere for the scares. But for all its technical finesse, this 85-minute film feels a little too long.",1
5832,"In Clint Eastwood's hands, Richard Jewell becomes a martyr to the director's career-long cause: heroism when it exists in direct opposition to authority.",0
7171,"A disturbing, boldly conceived story.",1
48988,"An insta-classic piece of filmmaking, perfectly capturing the spirit and personality of the original yet somehow making you feel engaged and interested in a follow-up that, let's face it, you likely didn't have the need to see.",1
1862,"It's ridiculous fun, which is exactly why you go see one of these films. It won't win any Oscars, but it's a diverting way to spend a couple of hours.",1
10198,How heartening that a mainstream studio flick could have a gay protagonist. How disappointing that said flick is as twee and anodyne as this.,0
814,"Most Likely to Succeed depicts real lives, unscripted tragedies, triumphs, roadblocks and boons. Littky's film exposes the lie that we're told: That everyone has an equal shot in this country.",1
4586,Touchdown for faith-based fans; underage drinking.,1
5031,"FUNNY STORY has a few minutes of humor, but it takes more than that to make a ""funny story.",1
35060,"Guignol violence, Lock, Stock aspires to be something like the Beatles meet the Wild Bunch. Too bad it doesn't have even a rubber soul.",1
32623," Like a gonzo, gazillion-dollar mash-up of 'Plan Nine From Outer Space' and 'Guardians of the Galaxy' steered by a committee of 13-year-old boys hyped on an all-weekend 'Star Wars'/'Star Trek' marathon and fueled by Mountain Dew and Pixy Sticks.",1
16307,God help us all.,1
10648,"This music biopic has some charismatic performances and numbers, but suffers from a glut of stories, too little time to tell them and resultant cursory treatment.",0
4546,"Much attention with this one: A fierce, almost unbearably intense recreation of the terrorist attacks in Mumbai in 2018. The characters don't get much development, but the story is as compelling as it gets.",1
368322," The Taking of Pelham 1 2 3 is a classy updating of the original, strong on pace and atmosphere, with Travolta and Washington making a great doubleact.",1
168,"The film's undeniable lowbrow appeal unfortunately doesn't paper over its tiresome Boomers vs. Millennials conflict, or Begos' vaguely reactionary gushing over the former cohort.",0
49464,Never fully engages the audience on an emotional level.,1
38949,"Memoirs of a Geisha, a dramatic miss, is nonetheless worth seeing for the visual feast it provides.",1
48604,"A story of youthful narcissism that never neglects the poignant humanity at its core, Into the Wild speaks to the yearnings and frailties in all of us.",1
11250,"'A new action hero is Bourne.' As incredibly cheesy and precious that advertising tag line for The Bourne Identity is, there's no discounting the truth it does hold.",1
5588,Not only that; the film lacks rising tension - there are too many lulls in the action to keep the suspense going.,1
353175, As excellent as Gosling is - and the actor conveys the stillness of the man as well as the voices screaming in his head - Dunst matches him stride for stride.,1
3201,"This is a delicate and thoughtful film, a fine first directing effort by Joe Talbot, with a story written, in part, by Fails himself based on his own experiences.",1
3153,Driven skirts over the facts in order to offer audiences a light-hearted dramedy reminiscent of American Hustle (2013).,1
194598," But, perhaps, the greatest parallel between Woody's Match Point and Hitch is duality. It's a brilliant device.",1
208310, Would-be screenwriters are advised to catch Reservation Road on cable as it provides an object lesson of three awful script clichés that are to be avoided at all costs.,1
346670, An exceptional ensemble really delivers in a film that might otherwise have struggled to attract attention.,1
4484,Us revolves around an allegory that's more elastic and resistant to parsing than megahit Get Out.,1
5801,"Anchored by a solid performance from Middleton, lush production, and solid writing, we have a delicious mystery that confounds as much as it beguiles.",1
33582,"There's no power fantasies here, no ego trips or fairy tale stories about a loser made good. In this case, the persona serves the story, not the other way around.",0
327464," It honors the earlier version, sometimes directly, sometimes with a cheeky twist and includes a bit of existential rumination about memory, identity, and redemption. ",1
11229,A first-rate thriller with grit and intrigue to spare.,1
48049,"Yes, it does have some 'deep' messages to deliver, but Ghost Dog is also very entertaining.",1
50276," Although caring, cheerful and kind individuals feature prominently, with much to laugh about, Another Year is really about the emotionally bruised amongst us, about regret, about envy, and the fact that life is often cruel.",1
2223,As long as it takes,0
5545,"Between his self-conscious shocks and old-fashioned offensiveness, [Anthony] Jeselnik feels too safe, too uninspired.",1
224158," The film, directed by Jon Turteltaub, has an easy but mediocre charm.",1
112534," It's unclear if Van Sant intends to inspire guilt; here, as elsewhere, he is exasperatingly abstruse. And in this striving to not say too much, he ends up not saying much of anything at all.",0
8697,"The film is sumptuously shot, lit, scored and acted.",0
30969, more a trip to the petting zoo than a foray into the treacherous savannah of high and low crime,1
40459,Muddled saga of journalistic ethics.,1
6055,"This savvy, music-fueled high school comedy really rocks.",0
7978,"King's Secret Window, Secret Garden is the kind of story that defies adaptation.",1
4435,"Cursing, violence in mediocre horror-comedy.",1
22963,Fails for all the reasons you'd expect it to fail.,1
401904," Captain Ron is a movie about trapped suburbanites who break out into romantic seas, but it never really leaves suburbia... Like the Cap'n himself, this movie guzzles up its dreams and ignores the busted engine.",1
3550,"The film has some very effective moments, some solid performances, a good idea, but an execution that does not live up to the idea.",0
2112,Stuber is Uber hilarious: Dave Bautista and Kumail Nanjiani are a perfect oddball mismatch who create comedic gold in an Uber trip gone horribly wrong ...,1
98278, I found the story of these two lovers to be not especially involving and hardly fresh or new.,1
2354,"With that first impression alone, it's a failure. Upon delving deeper and watching the film, it's a dangerous and offensive failure.",1
108912," Slight, but it moves briskly and gives Spacey and Shannon the chance to toy playfully with one of the nuttier episodes of American history. ",0
1141,"Thematically and structurally the film is an overdone Christmas romance which doesn't really bring anything new to the table, other than an actual knight in armour wandering around in 2019.",0
6460,Underplay and restraint are the strengths of Carol. This is a film that stays clear of dramatisation. It kills you softly. ,1
304691," The Hunger Games: Mockingjay, Part One is very good indeed and all the better for featuring no Hunger Games at all.",1
653, If you're looking for women in feathered boas doing high kicks to an assortment of vintage sounding musical numbers then Nine delivers. So do the Rockettes.,0
278391," Cushy it might be in appearance, but it is also pretty flat.",1
365197," Russell's principal obsession is the period and, I'm sorry, but someone really should've taken the filmmaker aside before shooting began and reminded him the decade's been done to death. Maybe Ron Burgundy could've broken the news.",1
706,Eternal violence.,1
428771," While 2011's Rise of the Planet of the Apes doesn't achieve the near-classic quality of 1968's original Planet of the Apes, it's close. ",1
3568,It doesn't even make good camp.,1
18932,One long cry of anguish about the price of fame comes perilously close to self-pity. And self-abuse.,1
23700,Wonderland represents another low-rung on the downward descent of actor Val Kilmer.,0
234006, The movie's sole virtue is its short runtime.,1
95569," Enhanced by the you-are-there immediacy of a hand-held digital camera, Cavite works up a visceral potency that overleaps the credibility gaps in the omniscient-terrorist device.",0
35314,"A comedy without any identifiable humor. Retreat is dreadful, but to consider just how many gifted performers are here treading water makes the heart sick. Ralphie, how dare you.",1
3501,It was probably a much better idea to get a real Russian ballet dancer to play the role rather than an English-speaking actor with a phoney Russian accent and a dance double.,0
4855,"Despite all these reservations, many children will enjoy this picture, and it's the best-crafted, most entertaining Hollywood product of a very bad week.",1
8755,"The pacing by director del Toro is so slow that by the time a ghost does show up, it's more apt to wake the audience than scare them.",0
22904,"A grand, sprawling tale of the civilizing of the west.",1
36536,"Aniston maintains the character's superficially simple patina even as she communicates her churning inner life. It's an appealing, highly disciplined performance.",1
25670,"Though something less than a masterpiece of the genre, this good-natured skirmish in the war between men and women benefits from Hudson's thoroughly charming performance.",1
213185, This remake by Dennis Iliadis cost a great deal more than Craven's $100k and in many respects is an upgrade. What it lacks in the shock-of-the-new it makes up for with a more rounded storyline.,1
1624,'The Farewell' is one of the best movies of 2019. [Full review in Spanish],0
31562,"Not one of Sturges' best, but good enough.",0
131395," Despite the film's flaws, there's something winsome about Abu Raed in his captain's hat, entertaining kids with visits to cities that exist only in his imagination.",1
5452,"A Golden Dream may sometimes feel like a promo film, or a very, very good DVD extra, but it really knows its audience.",1
467896," ...John McEnroe: In the Realm of Perfection is, in tennis parlance, a straight ace.",1
38179,"You need good villains in a movie. And if they're named ""Ham Egg"" then all the better.",1
11454,It puts a smile on your face and you can't resist the charming nature of the film.,1
5061,"Celebrates the idea of taking a chance and accepting the unexpected, in ways that are quietly funny. ",1
263464," The story is the problem here, devolving into a ridiculous situation that produces far more groans than chills or thrills.",1
75792, Stylish Almodovar drama is too mature for teens.,1
2719,"Dark Phoenix nonetheless remains an intriguing and affecting film, particularly in its curt commentary on power and parenting.",1
311121, An obvious bid for the teen queen to extend beyond her comfort zone only to then clearly show her limits and need for further development.,1
16674,Aside from Letts scathing one-liners the best reason to see the film is McConaughey. His Killer Joe is a quite brilliant variation on cool villainy. ,1
5004,"An affectionate, honest portrait that interrogates our need to deify dead icons, while carving out a space in music history long left vacant for Foley to fill.",1
3504,"The Nureyev story is a very good one, and Fiennes and Hare tell it well.",1
61104," Arnold's script and camera close in and tear apart ideas of the poor, youth, and what makes a good man.",1
63276, [A] middling romantic comedy.,1
5340,"In Search of Greatness, the latest from Gabe Polsky (Red Army), explores the passion, obsessiveness, and creativity in sports. But, though intriguing and sometimes adrenalizing, this search stumbles.",1
2339,It is an average movie with an above average performance from Frankie Muniz - yes that Frankie Muniz,0
4218,"If you see An Acceptable Loss in a movie theater, you might regret the money you spent on a ticket. Watch it on TV or a mobile device and you may stay totally absorbed.",1
14147,"The mise-en-scene is well composed, and the story is well told in this wonderful Australian work.",1
12775,"On the whole, this is another disappointing animated effort and it resides considerably lower on the totem pole than this year's current non-live action champion, Ratatouille.",0
32852,"Despite this inconsistency and Schneider's one-note turn, the film does offer a few amusing moments. All too often, however, The Hot Chick feels like a cold fish.",1
188,"Though Klabin provides a suitable amount of exciting visuals, Long is fun to watch, and the third act is good, The Wave is barely a ride worth taking.",0
4812,Framing John DeLorean tries to make the point that DeLorean's life story has the potential to be Hollywood biopic.,1
41002,Perceptive [and] deeply engaging.,1
6412,"The dialogue by Curtis-Hall and Darin Scott is a degrading string of profanities and inanities, interspersed with sadism and exploitation of women. Their opinion of their target audience should depress moviegoers of any color.",0
31168,"This tough, violent and starkly impressive thriller succeeds in its main aim, which is to keep the viewer on the edge of the seat.",1
8991,"Food for thought, this movie may provide... but it fails to linger long after the end credits roll.",0
48782,Sputters out after a fast start.,1
52660,"The writing by Wong, Glen Morgan and Jeffrey Reddick meets the low standards of a mediocre TV movie.",1
29186,"While its portrayal of the country that it calls home is not strictly authentic, the movie has an element of human truth that carries it over the line.",1
34681,"When the most entertaining thing about a film is the printed press material that mimics the look of the test, you know you're in trouble.",1
5401,Massively ambitious crime drama is a supremely well crafted piece of genre auteurism. It's thoroughly solid in the delivery of its very specific intentions; whether you want such a product is up to you.,0
53646,I've never seen a movie quite like Embrace of the Serpent.,1
199018," In some ways, All These Sleepless Nights feels like 100 minutes of waiting for something to happen: it's probably just as well that we get only a year's worth of Krzysiek's life, and then just a compilation of the briefest highlights. ",1
1348,"Destined to be added to the yearly holiday viewing rotation, Klaus is worth writing to Santa about.",1
57109," One has to give it credit for taking on a serious subject, even if it fumbles the attempt.",1
3337,The epiphany of movie sentiment and a transcendent experience.,0
3887,"With an energetic but never breakneck pace, the film is steadily entertaining, especially when it finds comedy in the characters. The cheap gags aren't quite as funny.",1
2517,"It's a perfectly solid take on the territory, but by the time the credits roll hasn't offered much that hasn't been seen before.",0
3527,"Although uncomfortably lurid in places, the film stops short of the full-on exploitative treatment it could have warranted.",1
567,"This light drama unfolds in a very simple, undemanding fashion. Best described as a gentle, coming-of-age (lessness) affair.",1
1664,As gloriously euphoric as the finest of Bruce's anthems.,1
6286,It delivers a particular kind of visceral historical spectacle that movie audiences haven't seen in decades.,0
2310,A horror film of a visceral beauty. [Full Review in Spanish],1
149135," In Sound City, a raucous yet sweetly romantic documentary, dinosaurs do indeed rock the Earth again.",1
1187,"The journey doesn't always end up being inspiring, but there's a sufficient dose of empathy for what the characters live and feel so that we can enjoy it. [Full Review in Spanish]",1
4560,"The tragedy of what took place underwater is what resonates here, as well as the repugnant behavior of those who refused to help. [Full Review in Spanish]",0
176271," Rampage doesn't blend action, comedy, and heart as well as The Rock's best tentpoles, but there's good dunderheaded fun to be had here.",1
52101,Props itself up with allusions to Deep Thoughts but in reality is just a long action movie gussied up in special effects.,1
5342,"... might not be that surprising, but the candidness of the subjects is refreshing.",1
113401," There really is no good reason for Don Cheadle to be in Hotel for Dogs, unless perhaps he's somehow contractually obliged to appear in every movie that features the word ""hotel"" in its title.",1
344247," Hooper keeps us focused on what's best about ""The King's Speech"": the sort of complicated, unusual relationship that is an ideal subject for a movie.",1
32651,"Lacking any really sharp dialogue, the film just about goes the distance by juggling its characters in short, sketch-like scenes and inserting occasional musical montages.",1
26791,"Shockingly violent, chock full of scenes drenched in blood, this movie earns its R rating many times over.",1
475901, Myers has his head in the toilet more than a Florida State University freshman co-ed during homecoming weekend.,0
276509," That Gosling is so serious about his inconsequential pronouncements, makes this mess more of a mess.",1
407671," It's a frequently enjoyable picture, less intimate than director Mira Nair's previous Monsoon Wedding but a good deal livelier than star Reese Witherspoon's last Brit-lit outing, the flaccid The Importance of Being Earnest.",1
25819,Want to know Sedgwick? Listen to Dylan sing 'Just Like a Woman.' That's it -- in less than five minutes.,0
6527,"In Carol, director Todd haynes shows us his hability to exploit themes about gender roles and secual orientation with a very submersive story. [Full review in Spanish] ",0
31274, It's a chronicle of blue-collar workers who depend on each other for emotional sustenance. A deep sadness lurks under the laughs. It seeps under your skin.,1
15770,Children of Invention is appealing as a modest appreciation of certain strengths of innocence.,1
49614," Aside from Carell's limited turn at doing nasty, it all feels terribly familiar, in a half-baked, Little Miss Sunshine-lite sort of way.",1
49793,"A slight film, slight in its surprises and in its suspense, and yet not totally devoid of either.",1
150915, An illuminating glimpse at a time when Hugh Hefner was on the cultural cutting edge.,1
2141,"A Bread Factory is roughly four hours in length, but with these two characters, it could have been 400, and I would have happily watched the entire thing.",1
18336,"The Infiltrator just manages to stand out amongst modern films. Bolstered by a strong cast and an engaging, based on true events story, it is a surprisingly enjoyable experience.",1
126620," 'Abraham Lincoln: Vampire Hunter' is exactly what it sounds like: a CGI-heavy, eye-watering slice of B-movie cheese for the least discerning, most credulous appetites.",1
25203,"Anyone who considers this a decent romance should check out Max Ophuls's ""Letter From an Unknown Woman.",1
45976,"As a moviegoer, there are times when you want, say, ""Jane Eyre,"" and then there are times when a movie about really large men who drive cars really fast is just the thing. ""Fast Five"" is that latter movie, and then some.",1
44349,"'Corn, corn, nothin' but corn,' Duvall complains as he looks at his crops; unsympathetic viewers will feel they can relate...",0
5136,"This story of four women who work at a huge department store in Australia entertains due to Bruce Beresford's direction, the talent of Julia Ormond and the beauty of Rachel Taylor (looking like a young Grace Kelly).",1
2734,"The film is breathless, while never taking a breath, and when everything is big, brassy, and bold, even a manic genie has trouble standing out.",0
1740,"I appreciated and related to Slate's honesty in these moments, and found Robespierre's choice to save them 'til the backend to be subtly powerful - the medicine hits harder because of the sugar we've been fed before.",1
282803," The success of his first superhero movie has allowed director Peyton Reed to loosen the reins, and the results are much sure-footed and humorous this time around. ",0
25754,Kudos to Miller for her touching portrayal of a doomed icon. A shame the film's as substantial as one of Warhol's silver flotations.,1
99574," I should know better. But it got to me, mostly because of the way the races are shot ? and because of the heartfelt and mostly underplayed performances by the film?s stars.",1
4894,"As a filmmaker, Scorsese isn't content with finding the legend; instead, he creates it right in front of your eyes.",1
199268," In the Heart of the Sea is a technical marvel, demonstrating that Howard is still a master of making movies look and sound stunning. Unfortunately, the screenplay was lost at sea.",1
3750,"It would have been fresh to set this film in Mexico, centred on a Mexican family and have it steeped in an entirely different landscape and culture. Instead, it's the same story seen many times before - an innocent American family targeted by ghouls.",1
380347, The film is too solemn to be a fun diversion without prejudice. [Full Review in Spanish],0
1325,"By allowing the writing and direction to remain sympathetic to Mark, the film actually finds some important things to say about protective childhoods and the way we choose to treat people who are different from ourselves.",1
23834,"While the director may have ambition to admire and career-risking courage to respect, the sad truth is his new movie has almost nothing to heart.",1
4782,A notable western that sharply reformulates the legend of Billy the Kid. [Full Review in Spanish],1
17169,A loopy fever-dream of a movie that recasts the conventions of noir in a blissed-out psychedelic haze.,0
5230,I can't ever recall truly hating a Depp leading man performance. But this comes close.,1
1450,It has a humane grasp of the pleasures kids create even under hellish conditions and of their adaptive capacity to craft a life out of the materials available.,1
2485,"Thematically, this WWII drama is a typical John Wayne fare--the Duke imparts lessons of manhood and honor--but technically, it's an atypical Preminger movie, slow-paced and shapeless. ",0
34505,"...will undoubtedly come under fire for being all over the place, but that's like complaining a trapeze artist shouldn't be performing so far up in the air. The movie exhilarates precisely because it takes random, high-altitude risks.",1
2886,"A welcome change-up in The Woman series, with Darlin' Pollyanna McIntosh crafts a thoughtful and surprisingly warm emotional tale of motherhood, with just the right amount of horror.",1
295781, There are so many things to enjoy here. Director Curtis Hanson... keeps a complex story coherent and absorbing -- if bloody at the end.,1
5025,Funny Story is well worth your time. It's a captivating look at families and how the truth hurts but not nearly as bad as the alternative.,1
19727,"A cliche-ridden exercise that never exhibits any real heart and focuses on characters who never come alive, it also never comes close to living up to the promise of the names in the credits.",1
6721,This futuristic thriller just seems to keep getting better with age. An entertaining sci-fi flick done before special effects took over the genre.,1
4581,"It's a sincere work, even if we remain unconverted.",1
351073," Surprisingly enjoyable... visually too dark, and it's hobbled by a villain who's a crashing bore, but it adds a welcome dose of humor to what had been pervasive grimness, and some promising new characters as well. ",1
1657,Sweetheart is a solid creature feature film that digs deeper into themes such as isolation and discovery of one's self.,1
4588,"The Chaparro-Higareda formula works, although sometimes... the conflicts in No Manches Frida 2 are predictable. [Full review in Spanish]",0
27219,"It's easy to be captivated by this unique, universal piece that above all makes us care for its characters as we journey through a maze of emotions",1
323,"This 2019 CGI remake misses the mark in the most crucial element of what has sustained The Addams Family all this time - its offbeat, macabre vibe. If you don't get that, you're really not going to get any of it.",0
4402,This take on an intimate story is so jumbo that it makes it feel a little dumb.,1
2583,"Boyle does have two fun leads in Patel and James, though, and a wonderful musical accompaniment, even if those songs are performed by Jack and not the Fab Four.",1
3216,"With an authenticity rarely seen in contemporary cinema, it examines the lives of those that struggle to survive in ecosystems that function according to their own decrepit principles.",1
2851,Despite how impressive the new Chucky looks - rendered with a blend of practical on-set puppet work and digital enhancements - he is never scary.,1
5285,"It's just not as funny, progressive or challenging as the concept - a gender swapped remake of the Mel Gibson starrer What Women Want - would have allowed it to be.",1
38181," Robert Altman orchestrates a jangly genre autopsy, mischievous and brutal",1
199778," Dramatically, it's better than Taken 3, but it doesn't offer anything particularly memorable or lasting.",1
105459," It's a fun, light and heartwarming affair that'll surely appeal to kids, their parents and everyone in between.",1
381831, Pretty much meets egg-spectations of an absurd bird game plucked from an app and served up on the big screen.,1
447577," Although Ronan and Tucci offer up beautifully nuanced performances, it's still not enough to stop The Lovely Bones from floundering about. Unfocused and often gaudy its most certainly not as lovely as it wants to be.",1
21091,It's Cage's best work in years.,1
4188,[Vlada] Knowlton's feature couldn't be more timely or essential.,1
1219,"[Sameh Zoabi] deftly illustrates how art - even if a daily soap that traffics in clichés and stereotypes could ever be considered ""art"" - affects people's lives, dreams and self-image.",1
3855,"Individuals profiled are involving guides to some of legal, ethical, social, and individual ramifications on theme: personal data is now a commodity more valuable than oil.",1
916,This is one piece of heritage that's better forgotten.,0
169000," While Gordon-Levitt and Willis have a blast with the space-time issues and some funny dialogue, the movie loses steam after a solid start.  ",1
465456," There's an intuitiveness to Gerwig's masterful screenplay that, in its own way, feels quietly profound, every bit as relatable on this side of the pond as it will be to those who grew up in the boring Sacramento suburbs.",1
3056,"While ""John Wick: Chapter 3 - Parabellum"" is an easy movie to recommend, it must be added that it's a hard movie to love.",1
114415, Glenn Close's perennial look of astonishment and resilience commands the action to the point of turning every other screen element into a gratuitous prop.,1
4135,"If you put Ridley Scott's Alien into an airlock, sucked out all the action and excitement, and threw in wobbly sets and Ballardian dialogue enlarging on the ""ideas"", you might get something close to Claire Denis's High Life.",1
42728,"Even though its heart is in the right place and it boasts a strong cast, it's a case of preaching--and singing--to the choir.",1
229044, The twin millionaires bust up an international piracy ring to help make the world safe again for the manufacturers of overpriced CDs and DVDs...,0
218409, A self-contained science fiction blockbuster that thrives in its simplistic premise.,1
43162,Martial arts have rarely been filmed with so much artistry.,1
1421,"An interesting morality tale, by way of vampires, about the nature of power between the bullies and the bullied.",1
3949,The filmmaker writes himself into a corner and decides to make himself comfortable there.,0
457467," Berk tries to capture the inanities of the Middle East: how both sides have to go through the motions of cat and mouse, constantly switching who's the feline and who's the rodent, but you can't care when the characters are this one-dimensional.",1
368107," So much more depth has gone into seductively photographed interiors (residents complain of being poor while living in terrific Manhattan lofts) that Melinda starts to seem like an accessory, to be packed and hauled away.",1
41073,"As a study of two apparently dissimilar men trying to find their way in the world, The Soloist works fairly well.",1
